9     -296.59129053 Ry
10    -303.48811677 Ry
15    -328.47775002 Ry
20    -342.07928213 Ry
25    -347.56020762 Ry
30    -349.39386723 Ry
35    -349.94541493 Ry
40    -350.04826316 Ry
45    -350.02756501 Ry
50    -349.99704194 Ry
55    -349.98474457 Ry
60    -349.98226798 Ry
65    -349.98464439 Ry
70    -349.98734175 Ry
75    -349.98905579 Ry
80    -349.98976179 Ry
85    -349.98989837 Ry
90    -349.98987521 Ry
95    -349.98984524 Ry
100    -349.98987899 Ry
105    -349.98999738 Ry
110    -349.99014373 Ry
