9    -247.70014880 Ry
10    -253.25397063 Ry
15    -273.59770747 Ry
20    -284.99108384 Ry
25    -289.18763762 Ry
30    -290.60121592 Ry
35    -290.98140200 Ry
40    -291.06822470 Ry
45    -291.08361263 Ry
50    -291.08377913 Ry
55    -291.08463703 Ry
60    -291.08740066 Ry
65    -291.09057571 Ry
70    -291.09275699 Ry
75    -291.09386215 Ry
80    -291.09427315 Ry
85    -291.09434600 Ry
90    -291.09436328 Ry
95    -291.09445438 Ry
100    -291.09462860 Ry
105    -291.09484496 Ry
110    -291.09504805 Ry
